year,soc_name,soc,race_name,race,num_ppl,num_ppl_moe
2014,"Actors","272011","White","1",21333,2808.83
2014,"Actors","272011","Black or African American","2",3373,1302.24
2014,"Actors","272011","American Indian","3",159,194.91
2014,"Actors","272011","Alaska Native","4",20,33.5677
2014,"Actors","272011","Asian","6",1243,755.674
2014,"Actors","272011","Native Hawaiian or Other Pacific Islander","7",103,124.828
2014,"Actors","272011","Unknown","8",1201,719.986
2014,"Actors","272011","Two or more races","9",583,379.064
2015,"Actors","272011","White","1",24674,3107.93
2015,"Actors","272011","Black or African American","2",3180,1225.7
2015,"Actors","272011","American Indian","3",66,107.063
2015,"Actors","272011","Asian","6",2065,971.72
2015,"Actors","272011","Unknown","8",1433,1019.85
2015,"Actors","272011","Two or more races","9",1025,495.39
2016,"Actors","272011","White","1",26448,3218.61
2016,"Actors","272011","Black or African American","2",5070,1992.4
2016,"Actors","272011","Other Native American","5",97,155.674
2016,"Actors","272011","Asian","6",1016,717.16
2016,"Actors","272011","Native Hawaiian or Other Pacific Islander","7",87,145.579
2016,"Actors","272011","Unknown","8",703,482.752
2016,"Actors","272011","Two or more races","9",701,511.136
